index,tip_x,internal_y
0,5.6512919112,5.5684247788
1,0.0828671324,5.4419850629
2,0.1435534283,5.4173244479
3,0.1682140433,5.5233887726
4,0.0621497186,5.5677145972
5,0.0178238941,4.7452747156
6,0.3799897957,5.0917500176
7,0.0143364137,5.0877877083
8,0.0100795430,5.0865766821
9,0.0249891992,5.0748382546
10,0.0175495467,5.0734330864
11,0.0381327949,5.0872775635
12,0.0215485978,5.0727882430
13,0.0497365483,5.0493357688
14,0.0731890225,5.0824987619
15,0.0181082194,5.0782166174
16,0.0278698139,5.0524723349
17,0.0481346464,5.0381478086
18,0.0350619127,5.0174084093
19,0.0694999420,5.0292596469
20,0.0220322644,5.0264801400
21,0.0604282113,4.9664517361
22,0.1423744252,4.8933912158
23,0.1715993255,4.7031913037
24,0.4385115677,4.8523362597
25,0.0427912717,4.8259296050
26,0.0691979264,4.5495703179
27,1.0441873433,4.9930659472
28,0.1486369240,4.9338585807
29,0.2078442905,5.1308656303
30,0.0108372409,5.1016312520
31,0.0400716192,5.0111709371
32,0.0921757741,4.7636284085
33,0.6794443227,5.3790757881
34,0.0448188632,5.3737646203
35,0.0391711309,5.3682940239
36,0.0309430974,5.3600771193
37,0.0227216420,5.3358956511
38,0.0386839301,5.3562366859
39,0.0046442653,5.3345194121
40,0.0181423591,5.3047451456
41,0.1081906056,5.3481581816
42,0.0346405796,5.3389866145
43,0.0438121467,5.3324019216
44,0.0421776596,5.3291728400
45,0.0454067413,5.3280660097
46,0.0547327515,5.3271391395
47,0.0529198918,5.3234048060
48,0.0566542253,5.3745662787
49,0.0054927526,5.3120526293
50,0.0652666819,5.3183485532
51,0.0315734980,5.2363560877
52,0.0861687036,5.2264180485
53,0.1837779727,5.3614737452
54,0.0377633761,5.3537777971
55,0.0290209642,5.3632787276
56,0.0167803037,5.3476182524
57,0.0160024289,5.2807529266
58,0.1239636447,5.2646829113
59,0.0797596900,5.2606560316
60,0.1194029997,5.2401533756
61,0.0549741557,5.0919809881
62,0.0497218831,4.7269633578
63,0.6722737634,5.0280078127
64,0.2890375285,5.0116555199
65,0.3355268013,4.9760461465
66,0.1985334347,4.8638703618
67,0.2778325094,4.9566072913
68,0.1275613299,5.0334526243
69,0.0150995669,4.9854704997
70,0.0740405915,4.7669715650
71,0.2897997962,4.7477743969
72,0.2815997043,4.7392728914
73,0.2901012098,4.5039757788
74,0.4760832525,4.9466123437
75,0.0334466876,4.9532634636
76,0.0267955677,4.9404518228
77,0.0396072085,4.8981346781
78,0.0819243532,4.9546360409
79,0.0254229904,4.9460261100
80,0.0340329213,4.9548418793
81,0.0252171520,4.7341058594
82,0.1610216719,4.8805195844
83,0.0146079469,4.7559589548
84,0.1391685765,4.8126599333
85,0.0824675980,4.7911367709
86,0.1039907604,4.7751355558
87,0.1199919755,4.8132843072
88,0.0818432241,4.7710131576
89,0.1241143737,4.7375237842
90,0.0754119671,4.7640284930
91,0.0489072583,4.7468886324
92,0.0660471189,4.3827146157
93,0.0932348355,4.3558380924
94,1.1118921787,5.0890712534
95,0.1375631277,5.2026973880
96,0.0239369932,5.1881371220
97,0.0384972592,5.2170350937
98,0.0095992874,5.1365855134
99,0.0900488678,5.1703543510
100,0.0562800301,5.1825725106
101,0.0440618705,4.9094452989
102,0.2322575723,5.0547459483
103,0.0869569229,5.0710854873
104,0.0706173839,4.6793270078
105,0.4623758634,5.0781720285
106,0.0635308427,4.2686640554
107,0.7744086759,4.2554771276
108,0.7821161536,4.1186912668
109,1.1079431140,3.8986793851
110,1.3279549960,3.7296968373
111,1.4120060338,4.4991273521
112,0.5658631891,5.0475636179
113,0.0174269234,4.9048062815
114,0.1464856298,4.5148699985
115,0.2679287627,4.4815269271
116,0.4136006040,4.8045398379
117,0.0905876932,4.8709009850
118,0.0242265461,4.8586736048
119,0.0364539264,4.4491319055
120,0.1966805558,4.5962044591
121,0.0496080022,4.6330961778
122,0.0127162834,4.4466958665
123,0.2813083747,4.3216539038
124,0.4063503374,4.6789512739
125,0.0490529673,4.6448011289
126,0.0832031123,4.5430704285
127,0.1027420327,4.5814412889
128,0.0643711723,4.4350724412
129,0.2107400199,4.1180493706
130,0.3579000805,3.9827554512
131,0.2712761899,4.2466943391
132,0.0073373020,3.5841155075
133,1.2397791431,4.7531805885
134,0.0241387221,3.3782027126
135,0.1826782384,3.5221715976
136,0.0332299035,3.4085104590
137,0.0674389921,3.3436595511
138,0.2911939999,3.5512068607
139,0.0672083403,3.5719155567
140,0.0191023842,3.4493042895
141,0.0869191316,3.4692370891
142,0.0121918119,3.3068675079
143,0.4266161832,3.6922560686
144,0.0302687225,3.2698123058
145,0.0938083752,3.1958273117
146,0.2445056993,3.0845414593
147,0.5119559317,3.5241135393
148,0.0175893318,3.5172900202
149,0.0709881908,3.5130778173
150,0.0204058737,3.4147366348
151,0.1735415762,2.9503845763
152,1.3584415850,2.7670837287
153,2.3636602419,3.5971972116
154,0.7198481295,4.2675642997
155,0.0330426814,4.2578936276
156,0.0344941735,4.2504530378
157,0.0501539433,4.2619227907
158,0.0359444604,4.2300777903
159,0.0403922008,4.2293468167
160,0.0329040044,4.2270286528
161,0.0407016183,4.2262072043
162,0.0497422469,4.2014596024
163,0.1018871087,4.2630025683
164,0.0211660528,4.2434265387
165,0.0078653725,4.2112707874
166,0.0756375637,4.1457831495
167,0.1219471216,4.2108976447
168,0.0349148164,2.4221815033
169,2.6428090377,4.8856714407
170,0.1710999203,4.7645092364
171,0.2977415846,4.9330829526
172,0.0880719684,4.8442309784
173,0.0454171026,4.2408674209
174,0.1528902401,3.8272702324
175,0.4103230486,4.2141278125
176,0.0179860185,4.1946971071
177,0.0264578139,4.1803517528
178,0.0243648182,4.1765991414
179,0.0363366096,4.1452443966
180,0.0676913544,4.0134504875
181,0.1063345735,3.7125389730
182,0.6812186881,4.3300404627
183,0.0637171984,4.0761414131
184,0.0573422779,4.0341117367
185,0.0774541443,3.3426649569
186,1.0510927041,4.3147027195
187,0.0434385115,4.2213547356
188,0.1724029254,4.2723750324
189,0.1213826286,4.2583276511
190,0.1354300099,3.6412578472
191,0.1716779038,3.6665861408
192,0.0970345402,3.5374206567
193,0.3988027642,3.8937571938
194,0.0424662271,3.8275423198
195,0.0264893212,3.6760483593
196,0.2546956117,3.1352749889
197,0.2502635022,3.0871971198
198,0.1695742412,2.9631479398
199,0.8497878113,3.0128244750
200,0.5206592161,2.8022146829
201,0.5011320282,2.5530291154
202,0.9283997857,2.8629019632
203,0.5500337879,3.3170599506
204,0.0876566206,3.3784358936
205,0.0235409476,3.3187692480
206,0.0119747231,3.2754717052
207,0.0333544559,3.2200333906
208,0.0723544106,3.2079804457
209,0.1419416055,3.2625520584
210,0.0681919128,3.1943930907
211,0.0815563604,3.2114836300
212,0.0589863612,3.1936307547
213,0.0932775964,3.1902917291
214,0.0993563521,3.1843540538
215,0.1162529273,3.2250869777
216,0.0727802734,3.2024199537
217,0.0707897674,3.1962685260
218,0.0742014651,3.1915244304
219,0.0542880307,3.1816864227
220,0.0613863084,3.1721017679
221,0.0983682232,3.0260571191
222,0.2772895921,2.7397729204
223,0.3197381708,3.0210128225
224,0.0302790887,3.0309209970
225,0.0203709141,2.6590332501
226,0.1105384710,2.1219689488
227,0.6284770923,1.7120660480
228,3.5885409332,4.6701173911
229,0.3400786301,4.9636453941
230,0.0328519971,4.9716722793
231,0.0248251119,4.9372486007
232,0.0181529005,3.9695815904
233,1.1721212807,4.3914503781
234,0.5036771531,4.7678467426
235,0.1272807886,4.8624740203
236,0.0326535109,4.8694381931
237,0.0256893381,3.7436267613
238,0.0693089898,3.6732430743
239,0.1396926769,3.6060411267
240,0.7959357144,4.3485772600
241,0.0479201312,4.3692064065
242,0.0081129047,4.2984175269
243,0.0789017843,4.3143653758
244,0.0465155754,4.1813613100
245,0.0233552612,4.1234753108
246,0.1716522204,4.1825617272
247,0.0605110040,4.1663538582
248,0.0575407930,4.1535114023
249,0.0649037988,4.1479440503
250,0.0458136109,4.1411581193
251,0.0854762619,4.1918973919
252,0.0073397293,3.9322909105
253,0.1354393606,3.3416804768
254,0.9808443144,3.3120437921
255,0.5008919591,3.0467831354
256,0.7661526158,2.1825001649
257,1.6112574963,3.7331866576
258,0.0523518336,3.2092020865
259,0.1790761247,3.3457158631
260,0.0398226281,2.9891608910
261,0.4511721201,2.9467975993
262,0.4387408918,2.7515742330
263,0.2860190481,2.5646787596
264,0.5386679515,2.1451482586
265,0.4905436826,1.9535903060
266,1.2072906450,0.0000000000
267,5.2485521909,1.7227686799
268,3.1778383008,3.0819443397
269,0.8542790813,3.8964031792
270,0.0398202418,3.0316558249
271,0.7812799261,0.3946351279
272,1.9951551731,0.9259406140
273,1.3026475070,0.0000000000
